intent,question,
Set Alarm,Can you set an alarm for 7 AM?,
Set Alarm,Please wake me up at 6:30 in the morning.,
Set Alarm,Set an alarm for 5 minutes from now.,
Set Alarm,Remind me to call John at 2 PM.,
Set Alarm,I need an alarm for my meeting at 3 PM.,
Set Alarm,Can you wake me up in 15 minutes?,
Set Alarm,Set an alarm for 8:00 AM tomorrow.,
Set Alarm,Please remind me at 9:30 AM for my breakfast.,
Set Alarm,Set an alarm for 10 minutes before my flight.,
Set Alarm,Please set an alarm for 7 PM.,
Send Message,Send a text to mom,
Send Message,Can you text Jake to say I?ll be home in 30 minutes?,
Send Message,Please send a message to Sarah,
Send Message,Send a message to the group about the meeting time.,
Send Message,Text Emily and let her know I?m on my way.,
Send Message,Can you message Bob asking if he's free tomorrow?,
Send Message,Please send a text to Lisa confirming the dinner.,
Send Message,Send a message to dad saying I?m working late.,
Send Message,Can you send a message to my friend about the party?,
Send Message,Please text my boss that I?ll be late to work.,
Make Call,Call mom right now.,
Make Call,Can you dial John?s number for me?,
Make Call,Please call Emily and put her on speakerphone.,
Make Call,Call the office,
Make Call,Can you make a call to the bank for me?,
Make Call,Please call my brother and ask him to bring the car.,
Make Call,Can you dial the customer service number for me?,
Make Call,Please call Sarah,
Make Call,Can you make a call to the restaurant and reserve a table?,
Make Call,Can you call me an Uber to the office?,
Check Weather,What?s the weather like today?,
Check Weather,Is it going to rain this afternoon?,
Check Weather,What?s the temperature right now?,
Check Weather,Can you tell me the forecast for tomorrow?,
Check Weather,Will it snow this weekend?,
Check Weather,Is it sunny outside today?,
Check Weather,What?s the weather forecast for the weekend?,
Check Weather,How cold is it outside right now?,
Check Weather,Is there a chance of thunderstorms today?,
Check Weather,Please tell me if it?s going to be warm today.,
Set Reminder,Remind me to call the dentist at 4 PM.,
Set Reminder,Can you remind me to pick up groceries at 6 PM?,
Set Reminder,Set a reminder for me to buy tickets tomorrow.,
Set Reminder,Please remind me to send the email by 5 PM.,
Set Reminder,Remind me to take my medicine at noon.,
Set Reminder,Set a reminder to water the plants at 9 AM.,
Set Reminder,Remind me to call the insurance agent tomorrow morning.,
Set Reminder,Please set a reminder to pay the bills tomorrow.,
Set Reminder,Set a reminder for me to send the report by 2 PM.,
Set Reminder,Remind me to take my dog to the vet on Friday.,
Check Calendar,What?s on my calendar for today?,
Check Calendar,Do I have any meetings tomorrow?,
Check Calendar,Please show me my appointments for the next week.,
Check Calendar,Do I have any events scheduled this month?,
Check Calendar,What time is my doctor?s appointment on Wednesday?,
Check Calendar,Can you tell me what meetings I have on Friday?,
Check Calendar,What is my next event on my calendar?,
Check Calendar,Do I have anything scheduled for this weekend?,
Check Calendar,Can you check my calendar for an appointment tomorrow?,
Check Calendar,What?s on my schedule for the afternoon?,
Check Notifications,Do I have any new notifications?,
Check Notifications,What is the latest message I received?,
Check Notifications,Do I have any missed calls?,
Check Notifications,Are there any new app updates available?,
Check Notifications,Have I received any emails recently?,
Check Notifications,Do I have any calendar reminders today?,
Check Notifications,Is there anything new in my inbox?,
Check Notifications,Have I received any alerts from my bank?,
Check Notifications,Please show me any important notifications.,
Check Notifications,Do I have any unread messages on WhatsApp?,
Take a Photo,Take a selfie.,
Take a Photo,Can you take a picture of the document for me?,
Take a Photo,Please take a photo of the sunset.,
Take a Photo,Take a picture of my food.,
Take a Photo,Can you take a picture of the painting on the wall?,
Take a Photo,Take a photo of the kids at the park.,
Take a Photo,Please snap a picture of the menu.,
Take a Photo,Can you take a picture of the event flyer?,
Take a Photo,Please take a photo of the meeting notes.,
Take a Photo,Take a picture of the building from this angle.,
Play Music,Play my favorite playlist.,
Play Music,Can you play some relaxing music?,
Play Music,Play a song by Taylor Swift.,
Play Music,Can you play a song from my workout playlist?,
Play Music,Play jazz music for me.,
Play Music,Can you play a podcast episode?,
Play Music,Please play some background music while I work.,
Play Music,Play some classic rock songs.,
Play Music,Can you play some instrumental music?,
Play Music,Please play the latest song by Ed Sheeran.,
Set Timer,Set a timer for 20 minutes.,
Set Timer,Can you set a timer for 10 minutes?,
Set Timer,Please set a 5-minute timer.,
Set Timer,Set a timer for my workout,
Set Timer,Can you set a countdown timer for 15 minutes?,
Set Timer,Please remind me in 45 minutes.,
Set Timer,Set a timer for 2 hours.,
Set Timer,Can you set a timer for the laundry?,
Set Timer,Please set a timer for cooking.,
Set Timer,Set a timer for 25 minutes.,
Check Battery,What?s the battery percentage left?,
Check Battery,How much battery do I have left?,
Check Battery,Is my phone charged enough for the day?,
Check Battery,Can you tell me if my phone is fully charged?,
Check Battery,How much battery does my phone have left?,
Check Battery,Do I need to charge my phone soon?,
Check Battery,How long until my battery is empty?,
Check Battery,Please check the battery status.,
Check Battery,What is my current battery level?,
Check Battery,How much time do I have before my battery dies?,
Check Wi-Fi,Is my Wi-Fi connected?,
Check Wi-Fi,Can you check if I?m connected to the internet?,
Check Wi-Fi,Please tell me the Wi-Fi signal strength.,
Check Wi-Fi,Am I connected to my home Wi-Fi network?,
Check Wi-Fi,Is the Wi-Fi working properly right now?,
Check Wi-Fi,Can you show me the Wi-Fi network I?m connected to?,
Check Wi-Fi,Please check if Wi-Fi is available in the area.,
Check Wi-Fi,What Wi-Fi network am I on right now?,
Check Wi-Fi,Can you tell me if there is an issue with the Wi-Fi?,
Open App,Open Facebook for me.,
Open App,Can you open Instagram?,
Open App,Please launch WhatsApp.,
Open App,Open the Gmail app.,
Open App,Can you open my calendar?,
Open App,Please open the weather app.,
Open App,Launch the Maps app.,
Open App,Can you open YouTube?,
Open App,Please open the notes app.,
Open App,Can you open the camera app?,
Search Web,"Search for ""best restaurants near me.""",
Search Web,Can you look up a recipe for lasagna?,
Search Web,Please find a good movie to watch tonight.,
Search Web,Search for the latest news on technology.,
Search Web,Can you look up the weather forecast for New York?,
Search Web,Please find me a good gym nearby.,
Search Web,Search for the top-rated books of 2024.,
Search Web,Can you find information on online courses for coding?,
Search Web,Please search for a flight to Paris next month.,
Search Web,Find a hotel in Los Angeles.,
Send Email,Send an email to John, asking about the meeting schedule.
Send Email,Can you email my boss the report for today?,
Send Email,Please send an email to Sarah about the event details.,
Send Email,Send an email to Emily with the updated file.,
Send Email,Can you email my friend the concert tickets?,
